tag_id,tag_name,tag_type,view_count,source
tag_0001,求问,生活,24891,content_extract
tag_0002,校园卡,生活,24891,content_extract
tag_0003,南校,生活,1951,content_extract
tag_0004,二手交易,生活,2280,content_extract
tag_0005,闲置,生活,2280,content_extract
tag_0006,租房,生活,744,content_extract
tag_0007,东校,生活,1754,content_extract
tag_0008,搭子,生活,5234,content_extract
tag_0009,宿舍,生活,2535,content_extract
tag_0010,交友,社交,4663,content_extract
tag_0011,食堂,生活,2042,content_extract
tag_0012,校园生活,社交,1988,content_extract
tag_0013,图书馆,生活,1376,content_extract
tag_0014,实习,生活,98,content_extract
tag_0015,课程资料,生活,4332,content_extract
tag_0016,打印店,生活,3702,content_extract
tag_0017,408,学习,2531,content_extract
tag_0018,考研,学习,2134,content_extract
tag_0019,期末,学习,2547,content_extract
tag_0020,选课,学习,4978,content_extract
tag_0021,电动车,生活,4908,content_extract
tag_0022,教材,生活,1672,content_extract
tag_0023,招新,社交,3137,content_extract
tag_0024,志愿服务,社交,2056,content_extract
tag_0025,兼职,发展,93,content_extract
tag_0026,家教,发展,452,content_extract
tag_0027,薪资,发展,3558,content_extract
tag_0028,拼饭,生活,4065,content_extract
tag_0029,老师,学习,3413,content_extract
tag_0030,给分,学习,558,content_extract
tag_0031,课程评价,学习,1592,content_extract
tag_0032,学习经验,学习,1608,content_extract
tag_0033,复试,学习,3579,content_extract
tag_0034,保研,学习,1643,content_extract
tag_0035,羽毛球,社交,1631,content_extract
tag_0036,活动,社交,522,content_extract
tag_0037,拍照,社交,3645,content_extract
tag_0038,校车,社交,4196,content_extract
tag_0039,组队,发展,3776,content_extract
tag_0040,竞赛,发展,964,content_extract
tag_0041,创新项目,发展,2221,content_extract
tag_0042,共享厨房,社交,328,content_extract
tag_0043,科研项目,发展,2032,content_extract
tag_0044,论文,发展,4542,content_extract
tag_0045,窗口测评,生活,559,content_extract
tag_0046,优惠,生活,1471,content_extract
tag_0047,面试,发展,1055,content_extract
tag_0048,招聘,发展,675,content_extract
tag_0049,简历,发展,1382,content_extract
tag_0050,就业,发展,923,content_extract
tag_0051,学习交流,学习,3386,content_extract
tag_0052,复习资料,学习,197,content_extract
tag_0053,考试,学习,181,content_extract
tag_0054,社团,社交,2496,content_extract
tag_0055,证件,生活,2335,content_extract
tag_0056,失物招领,生活,3980,content_extract
tag_0057,钥匙,生活,516,content_extract
tag_0058,教学楼,生活,2673,content_extract
